symbol,eps,Igroup Name
FUSION,-8.08,Finance
SPANDANA,12.72,Finance
DISHTV,-20.58,Entertainment
ZEEL,4.17,Entertainment
IPL,6.13,Fertilizers & Agrochemicals
IDEA,-5.06,Telecom - Services
SANGHVIMOV,20.64,"Agricultural, Commercial & Construction Vehicles"
SPARC,-12.6,Pharmaceuticals & Biotechnology
RAYMOND,252.99,Realty
HONASA,2.4,Personal Products
ESAFSFB,0.55,Banks
CHENNPETRO,48.13,Petroleum Products
CREDITACC,83.34,Finance
SINDHUTRAD,0.58,Diversified
PAISALO,2.98,Finance
AKUMS,18.46,Pharmaceuticals & Biotechnology
PNCINFRA,48.32,Construction
RBLBANK,19.3,Banks
SANGHIIND,-19.54,Cement & Cement Products
VAIBHAVGBL,7.36,Consumer Durables
UTKARSHBNK,4.21,Banks
COCHINSHIP,32.97,Industrial Manufacturing
MRPL,5.16,Petroleum Products
EQUITASBNK,5.54,Banks
MOIL,17.08,Minerals & Mining
JSFB,69.17,Banks
HINDWAREAP,-1.06,Consumer Durables
ALOKINDS,-1.84,Textiles & Apparels
ALLCARGO,0.44,Transport Services
PRINCEPIPE,11.93,Industrial Products
KALAMANDIR,5.95,Retailing
TANLA,40.2,IT - Software
UJJIVANSFB,5.97,Banks
IGL,28.39,Gas
TCIEXP,28.94,Transport Services
AARTIIND,12.28,Chemicals & Petrochemicals
NETWORK18,-2.56,Entertainment
MAHSEAMLES,65.57,Industrial Products
INDUSINDBK,104.56,Banks
SWSOLAR,-2.04,Construction
GAEL,7.37,Agricultural Food & other Products
RAJESHEXPO,1.28,Consumer Durables
GRSE,33.59,Aerospace & Defense
IRCON,9.8,Construction
MMTC,1.38,Commercial Services & Supplies
INTELLECT,9.32,IT - Software
NIACL,8.15,Insurance
MGL,115.6,Gas
ADANIGREEN,6.35,Power
DBREALTY,4.88,Realty
YESBANK,0.59,Banks
SCI,21.98,Transport Services
ADANIENSOL,4.87,Power
SANOFI,230.06,Pharmaceuticals & Biotechnology
RAMKY,34.64,Construction
SULA,10.13,Beverages
ADANIPOWER,31.18,Power
MSTCLTD,27.63,Commercial Services & Supplies
HATHWAY,0.57,Entertainment
NSLNISP,-8.77,Ferrous Metals
HINDZINC,20.69,Non - Ferrous Metals
CONFIPET,2.66,Gas
UCOBANK,1.84,Banks
KOLTEPATIL,-9.75,Realty
MIDHANI,4.71,Aerospace & Defense
RHIM,-4.9,Industrial Products
INFIBEAM,0.73,Financial Technology (Fintech)
MAPMYINDIA,24.71,IT - Software
OIL,51.56,Oil
TITAGARH,22.9,Industrial Manufacturing
J&KBANK,18.73,Banks
ATGL,6.42,Gas
BDL,6.79,Aerospace & Defense
BANDHANBNK,13.85,Banks
IOB,1.56,Banks
IIFL,24.13,Finance
DEN,4.7,Entertainment
TRIDENT,0.62,Textiles & Apparels
ELECTCAST,14.27,Industrial Products
SFL,13.87,Consumer Durables
JBMA,15.84,Auto Components
IDEAFORGE,3.04,Aerospace & Defense
AHLUCONT,50.66,Construction
TIIL,114.72,Industrial Products
HINDOILEXP,12.86,Oil
IRFC,4.97,Finance
RBA,-4.65,Leisure Services
SOUTHBANK,5.3,Banks
HEMIPROP,-0.36,Commercial Services & Supplies
JWL,8.93,Industrial Manufacturing
ADANIENT,46.55,Metals & Minerals Trading
BORORENEW,-6.63,Industrial Products
INOXGREEN,0.89,Other Utilities
ANURAS,6.38,Chemicals & Petrochemicals
IREDA,5.38,Finance
ADVENZYMES,12.25,Pharmaceuticals & Biotechnology
ENGINERSIN,6.58,Construction
HINDCOPPER,4.17,Non - Ferrous Metals
JKPAPER,37.6,"Paper, Forest & Jute Products"
RAILTEL,8.12,Telecom - Services
VENUSPIPES,48.82,Industrial Products
GODFRYPHLP,174.17,Cigarettes & Tobacco Products
EASEMYTRIP,0.25,Leisure Services
SAIL,6.11,Ferrous Metals
MUTHOOTMF,25.02,Finance
VSTIND,14.3,Cigarettes & Tobacco Products
TATAMOTORS,90.05,Automobiles
JUNIPER,1.54,Leisure Services
FORCEMOT,361.85,Automobiles
PATELENG,3.89,Construction
RVNL,6.45,Construction
TATATECH,15.95,IT - Services
HERITGFOOD,18.78,Food Products
VEEDOL,87.16,
PARAS,11.61,Aerospace & Defense
GATEWAY,4.57,Transport Services
SJVN,2.56,Power
DMART,41.18,Retailing
FINCABLES,45.65,Industrial Products
SKFINDIA,113.64,Industrial Products
HUDCO,12.31,Finance
BBL,48.84,Electrical Equipment
MANAPPURAM,26.67,Finance
PURVA,2.92,Realty
GMDCLTD,19.99,Minerals & Mining
TATAINVEST,73.07,Finance
HONAUT,596.19,Industrial Manufacturing
SURYAROSNI,29.49,Industrial Products
PTC,15.77,Power
POONAWALLA,5.32,Finance
BASF,149.82,Chemicals & Petrochemicals
DATAPATTNS,33.04,Aerospace & Defense
ZFCVINDIA,215.97,Auto Components
VOLTAMP,339.38,Electrical Equipment
IRB,1.02,Construction
VENKEYS,76.98,Food Products
BSOFT,21.97,IT - Software
MAHLOG,-7.01,Transport Services
JAMNAAUTO,4.9,Auto Components
CERA,185.33,Consumer Durables
EMIL,4.75,Retailing
DELHIVERY,0.07,Transport Services
NHPC,2.5,Power
RITES,8.29,Construction
RTNINDIA,5.2,Retailing
BIRLACORPN,40.26,Cement & Cement Products
JKTYRE,27.12,Auto Components
IDFCFIRSTB,3.21,Banks
FIVESTAR,32.99,Finance
LINDEINDIA,51.91,Chemicals & Petrochemicals
GSFC,13.27,Fertilizers & Agrochemicals
GUJGASLTD,18.47,Gas
JAIBALAJI,49.42,Ferrous Metals
IFCI,0.5,Finance
SHARDAMOTR,108.49,Auto Components
BANKINDIA,17.49,Banks
CONCOR,20.87,Transport Services
TIMKEN,52.7,Industrial Products
RAIN,-45.25,Chemicals & Petrochemicals
BAJAJELEC,9.36,Consumer Durables
WSTCSTPAPR,69.47,"Paper, Forest & Jute Products"
SSWL,42.18,Auto Components
UNIONBANK,20.27,Banks
IOC,12.73,Petroleum Products
JYOTHYLAB,10.25,Household Products
CASTROLIND,9.07,Petroleum Products
