priority,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,yearHigh,ffmc,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,date30dAgo,perChange30d,companyName,industry,spring,range,daytrend
0,FUSION,FUSIONEQN,EQ,171.0,171.0,157.71,162.94,171.28,-8.34,-4.87,479529,0,78273518.67,27-Jan-2025 15:59:29,674.85,6900956828.85,157.71,75.8553752685782,-3.316213302897717,-74.18,25-Jan-2024,27-Dec-2024,-5.3,Fusion Finance Limited,Microfinance Institutions,3.141708604394256,13.289999999999992,8.060000000000002
0,SPANDANA,SPANDANAEQN,EQ,308.0,308.0,308.0,308.0,324.2,-16.2,-5.0,182125,0,56094500.0,27-Jan-2025 15:57:36,1086.1,8002376086.28,305.2,71.64165362305496,-0.9174311926605542,-70.54,25-Jan-2024,27-Dec-2024,-5.2,Spandana Sphoorty Financial Limited,Microfinance Institutions,2.526298701298701,0.0,0.0
0,JAICORPLTD,JAICORPLTDEQN,EQ,126.85,127.85,124.6,124.6,131.15,-6.55,-4.99,958707,0,119972593.98,27-Jan-2025 15:57:02,438.3,5640218275.32,124.6,71.57198266027835,0.0,-67.2,25-Jan-2024,27-Dec-2024,-60.85,Jai Corp Limited,Plastic Products - Industrial,2.517656500802569,3.25,2.25
0,DISHTV,DISHTVEQN,EQ,8.05,8.3,7.95,8.01,8.42,-0.41,-4.87,10000200,0,80801616.0,27-Jan-2025 15:59:38,26.05,10585398159.71,7.95,69.2514395393474,-0.7547169811320705,-57.95,25-Jan-2024,27-Dec-2024,-21.82,Dish TV India Limited,TV Broadcasting & Software Production,2.252184769038702,0.35000000000000053,0.040000000000000924
0,SANGHVIMOV,SANGHVIMOVEQN,EQ,250.95,250.95,236.0,239.95,252.15,-12.2,-4.84,540392,0,129948064.24,27-Jan-2025 15:57:31,747.48,10923275665.45,236.0,67.8988066570343,-1.6737288135593171,-69,25-Jan-2024,27-Dec-2024,-22.79,Sanghvi Movers Limited,Construction Vehicles,2.1151489893727864,14.949999999999989,11.0
0,STAR,STAREQN,EQ,591.65,593.7,530.0,582.25,606.5,-24.25,-4.0,1358571,0,762946302.1800001,27-Jan-2025 15:57:50,1675.0,39700243301.33,530.0,65.23880597014926,-9.858490566037736,-15.9,25-Jan-2024,27-Dec-2024,-15.04,Strides Pharma Science Limited,Pharmaceuticals,1.8767711464147703,63.700000000000045,9.399999999999977
0,SPARC,SPARCEQN,EQ,171.0,171.01,162.25,165.0,170.93,-5.93,-3.47,493456,0,81430109.12,27-Jan-2025 15:59:39,472.8,16382269325.75,162.25,65.1015228426396,-1.694915254237288,-55.64,25-Jan-2024,27-Dec-2024,-18.04,Sun Pharma Advanced Research Company Limited,Pharmaceuticals,1.8654545454545455,8.759999999999991,6.0
0,IPL,IPLEQN,EQ,161.0,161.0,152.99,155.52,161.63,-6.11,-3.78,188569,0,29280994.32,27-Jan-2025 15:59:00,431.75,4460578294.17,152.99,63.979154603358424,-1.6537028563958436,-58.94,25-Jan-2024,27-Dec-2024,-13.94,India Pesticides Limited,Pesticides & Agrochemicals,1.776170267489712,8.009999999999991,5.47999999999999
0,SINDHUTRAD,SINDHUTRADEQN,EQ,19.09,19.09,16.8,17.49,19.24,-1.75,-9.1,5290374,0,92475737.52,27-Jan-2025 15:59:54,45.15,6750497710.87,16.7,61.2624584717608,-4.7305389221556835,-39.44,25-Jan-2024,27-Dec-2024,-21.06,Sindhu Trade Links Limited,Diversified,1.5814751286449402,2.289999999999999,1.6000000000000014
0,SWSOLAR,SWSOLAREQN,EQ,326.1,329.8,321.7,321.7,338.6,-16.9,-4.99,1580958,0,510839148.96,27-Jan-2025 15:59:25,828.0,40740639115.47,321.7,61.14734299516908,0.0,-44.3,25-Jan-2024,27-Dec-2024,-28.99,Sterling and Wilson Renewable Energy Limited,Civil Construction,1.5738265464718684,8.100000000000023,4.400000000000034
